,last_season_before_transfer,Age,Starts_abs_change,Starts_log_change,Min_abs_change,Min_log_change,Gls_abs_change,Gls_log_change,Ast_abs_change,Ast_log_change,CrdY_abs_change,CrdY_log_change,CrdR_abs_change,CrdR_log_change,SoT_abs_change,SoT_log_change,G/Sh_abs_change,G/Sh_log_change,passing_Att_abs_change,passing_Att_log_change,passing_Cmp%_abs_change,passing_Cmp%_log_change,TklW_abs_change,TklW_log_change,Blocks_abs_change,Blocks_log_change,Int_abs_change,Int_log_change,Clr_abs_change,Clr_log_change,dribbles_Att_abs_change,dribbles_Att_log_change,Carries_abs_change,Carries_log_change,Rec_abs_change,Rec_log_change,club_score_abs_change,club_score_log_change,mv_abs_change,mv_log_change,Arsenal FC,Brighton & Hove Albion,Chelsea FC,Crystal Palace,Everton FC,Liverpool FC,Manchester City,Manchester United,Newcastle United,Tottenham Hotspur,West Ham United,Wolverhampton Wanderers,attack,defence,goalkeeper,midfield,2019,2020,2021,2022
10,0,37.0,5.0,0.40546510810816416,450.0,0.44139228184950685,0.0,0.0,0.0,0.0,1.0,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,136.0,0.809910328315584,-6.0,-0.0763729787845735,0.0,0.0,0.0,0.0,1.0,0.6931471805599453,3.0,0.916290731874155,0.0,0.0,121.0,1.2738163776932003,92.0,0.9830994015462649,-0.53125,-0.19490033900081483,-350000.0,-0.8754687373539003,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
11,1,38.0,-12.0,-1.6094379124341003,-1080.0,-1.941163304699094,0.0,0.0,0.0,0.0,-1.0,-0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,-218.0,-2.2054213445403983,17.700000000000003,0.21036382466781056,0.0,0.0,0.0,0.0,-1.0,-0.6931471805599453,-4.0,-1.6094379124341003,0.0,0.0,-154.0,-2.4849066497880004,-130.0,-2.15721924272252,4.21875,0.9965281625548299,0.0,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
12,0,31.0,-8.0,-0.32277339226305113,-827.0,-0.3884828396974349,1.0,0.18232155679395468,-4.0,-0.5108256237659909,-5.0,-0.6061358035703157,0.0,0.0,1.0,0.08701137698962969,0.09000000000000001,0.07796154146971174,-504.0,-0.5760401142209819,-7.700000000000003,-0.1072704552672965,-9.0,-0.3715635564324833,-12.0,-0.6539264674066638,-8.0,-0.9555114450274365,-12.0,-0.6931471805599454,-25.0,-0.5162164724008673,-375.0,-0.6518655215866413,-479.0,-0.6768535410738448,-0.19999999999999996,-0.1418301954392177,-3300000.0,-1.1631508098056802,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
13,1,32.0,-17.0,-1.6582280766035324,-1473.0,-1.8680777778106092,-3.0,-0.6931471805599452,-4.0,-1.0986122886681096,-5.0,-1.791759469228055,0.0,0.0,-7.0,-0.8754687373539001,0.08999999999999997,0.07232066157962616,-642.0,-4.8629083820668,33.0,0.3956128116651527,-16.0,-1.6094379124341003,-12.0,-2.5649493574615367,-2.0,-0.5108256237659905,-11.0,-2.4849066497880004,-36.0,-3.6109179126442243,-403.0,-4.401829261970061,-490.0,-4.59511985013459,0.5,0.322773392263051,-1000000.0,-1.098612288668111,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
14,0,34.0,-3.0,-0.08004270767353638,-135.0,-0.04088381641140515,-1.0,-0.6931471805599453,-2.0,-0.6931471805599453,4.0,0.3364722366212125,2.0,1.0986122886681098,-6.0,-1.0986122886681098,-0.03,-0.02955880224154443,129.0,0.04904993816751535,2.5999999999999943,0.02915004601474891,-9.0,-0.17185025692665912,-4.0,-0.10536051565782634,-23.0,-0.4284546263328628,7.0,0.0765400771223339,-16.0,-0.6931471805599454,213.0,0.10020126222552506,84.0,0.03796208205848739,-2.25,-0.3835823968586567,-6000000.0,-1.3862943611198908,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0
15,0,35.0,-13.0,-0.44802472252696024,-1054.0,-0.3942454407333722,1.0,0.6931471805599453,3.0,0.916290731874155,-1.0,-0.07410797215372167,-2.0,-1.0986122886681098,3.0,0.6931471805599452,0.04,0.03922071315328133,-1401.0,-0.7336600082822518,-2.5,-0.028013036227673815,-18.0,-0.4700036292457357,-17.0,-0.6390799592896697,-3.0,-0.07232066157962613,-73.0,-1.4628344382422247,2.0,0.11778303565638337,-1354.0,-0.9316270721568944,-1173.0,-0.7343387925303526,3.9375,0.5978370007556206,-500000.0,-0.2876820724517799,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
16,1,36.0,-5.0,-0.24512245803298516,-375.0,-0.18866903222469844,1.0,0.4054651081081645,-1.0,-0.2231435513142097,-7.0,-0.7731898882334818,0.0,0.0,-2.0,-0.4054651081081644,0.04,0.037740327982847065,-154.0,-0.12670993367230388,0.7000000000000028,0.007923074837327349,-6.0,-0.2231435513142097,-8.0,-0.5465437063680696,-19.0,-0.6443570163905132,-7.0,-0.382992252256106,-4.0,-0.2513144282809061,4.0,0.00453515516539138,-83.0,-0.0798116807578726,-2.0625,-0.2688135881473983,500000.0,0.2876820724517799,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
17,0,31.0,-16.0,-0.4795730802618863,-1260.0,-0.4725172459860518,-9.0,-0.3184537311185345,-7.0,-1.01160091167848,-6.0,-1.3862943611198904,0.0,0.0,-30.0,-0.5819215454497213,0.03,0.025317807984289897,-546.0,-0.8342571814168487,-6.5,-0.08004270767353638,-7.0,-0.6286086594223743,-7.0,-0.49247648509779385,-9.0,-1.1786549963416462,-1.0,-0.2231435513142097,-47.0,-0.6725278933572096,-549.0,-0.7831303279387329,-599.0,-0.7886395263179571,-2.25,-0.3835823968586567,-34000000.0,-1.0608719606852617,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
18,0,33.0,20.0,1.349926716949016,1768.0,1.4180845408749887,0.0,0.0,1.0,0.6931471805599453,1.0,0.4054651081081645,0.0,0.0,4.0,1.0986122886681096,0.0,0.0,687.0,1.1400532866126483,-8.299999999999997,-0.09223635259210727,6.0,1.0986122886681098,31.0,2.169053700369523,15.0,1.5581446180465497,102.0,2.1799827709017134,4.0,1.0986122886681096,420.0,1.1050020867668806,480.0,1.0336543923933377,-1.6629464285714286,-0.8081439229676457,-2500000.0,-0.9808292530117253,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
19,1,34.0,-6.0,-0.2513144282809061,-532.0,-0.25881292684547397,1.0,0.6931471805599453,0.0,0.0,1.0,0.2876820724517808,0.0,0.0,-2.0,-0.4054651081081644,0.09,0.08617769624105241,-261.0,-0.29896662631808546,-2.700000000000003,-0.03193648116304715,1.0,0.10536051565782634,-7.0,-0.2231435513142097,-5.0,-0.30538164955118186,-26.0,-0.25629575863111054,-4.0,-1.0986122886681096,-178.0,-0.33329258370383297,-215.0,-0.3405072118333923,0.0,0.0,-1100000.0,-1.3217558399823197,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
